Id;DataAcesso;Hash;DataExpiracao;Cliente;TipoAcesso;LoginAtendente;TipoSessao;Origem
580;2018-06-27 04:53:21.717;9193e2a417fea9fff1d94994c45fd95fca37a142ec176a7ce38785528cfaf9c3e216f544e1fadbcb76834cb338942e056ce111e9d391a6cb5f6ba27310c8cc12;2018-06-27 06:33:20.353;111.111.111-52;1;;;100000016
581;2018-06-27 05:04:53.890;56a5507810812d33f24187e71e025aa1ec9e6f0d079bd8267bdabfbb90b9e9d9ffea66d2059cf10b443f201a2e060f01b2e9ae872262b55bd71136a512a43662;2018-06-27 06:34:53.890;111.111.111-53;1;;;100000016
582;2018-06-27 05:07:22.240;30f1db7add6ab8a4fea9f684b1a632db07f2ee08ec3fe72612430d5665f8426ab4d0bb333de248625a60418d674eb7058cdbda8f2469892016b3eef7dd4b0e88;2018-06-27 06:39:55.193;111.111.111-54;1;;;100000016
583;2018-06-27 05:13:47.133;6fda4625b49c7087c218269263e7ba44542e78da7f19fea0d65668244b587d2d106c2e2efdb745920828f673adc182ea4bfa591edaee0bca1bc28f633419f046;2018-06-27 06:45:37.160;111.111.111-55;1;;;100000016
584;2018-06-27 05:15:49.610;c3030c5f840d1b9fa9a3e3a4200e3e55c598d4a7528857be456f99458b1793c3e9fc3b6167d8deedc4b27474fa02c13be7d535d84624919cf804ebf13c2b3134;2018-06-27 06:45:50.877;111.111.111-56;1;;;100000016
585;2018-06-27 05:20:55.730;9d5bdd90e510ccd61fd2b0c9a53d945e4579f33296e64ccf8d4828bac839ae4465757f150411d0ffb7f08a0e3c091d7970fa2416062535c2f6cc7c7140762fe2;2018-06-27 07:04:29.660;111.111.111-57;1;;;100000016
586;2018-06-27 06:12:13.227;ae83c513068c010f188713f7be093523b433ed5f8ecfc21de05a177818e2fc15bd01b47bbd044424436856dce16c619c7c5f3df1d5f4fdba98adf282dea12742;2018-06-27 07:43:55.527;111.111.111-58;1;;;100000016
587;2018-06-27 06:14:39.330;c8954284d0e49451a4183373de32565276ca2bf5cf1f2893afd9b92b9bcfcac841b0d721106e2b2e63f45531aae98d37078c8db9fc5b4f82fb8ebad95a44bfe8;2018-06-27 07:45:32.110;111.111.111-59;1;;;100000016
588;2018-06-27 06:20:31.840;1375c2058afa8336d434b98c84c3808b903a46a5c85303bfe0af933e619b3ea00504917eb51b4c42d93670561aceb5e6b309d4ba2b2f7b3167653c3b838a7b5b;2018-06-27 07:52:26.643;111.111.111-60;1;;;100000016
589;2018-06-27 06:22:45.447;680d4401f5660a065589faf7c6b933ae81b4ab2769d782cea6e0b73841b025b085b293b89ac7bcb0e93483ee66a29a0a4275ca5b36d13840654259ebf02a10cc;2018-06-27 07:52:50.320;111.111.111-61;1;;;100000016
